roll_number,name,branch,section,semester
22BCS055,Student 22BCS055,CSE,A,7
22BCS056,Student 22BCS056,CSE,A,7
22BCS057,Student 22BCS057,CSE,A,7
22BCS058,Student 22BCS058,CSE,A,7
22BCS059,Student 22BCS059,CSE,A,7
22BCS060,Student 22BCS060,CSE,A,7
22BCS061,Student 22BCS061,CSE,A,7
22BCS062,Student 22BCS062,CSE,A,7
22BCS063,Student 22BCS063,CSE,A,7
22BCS064,Student 22BCS064,CSE,A,7
22BCS065,Student 22BCS065,CSE,A,7
22BCS066,Student 22BCS066,CSE,A,7
22BCS067,Student 22BCS067,CSE,A,7
22BCS068,Student 22BCS068,CSE,A,7
22BCS069,Student 22BCS069,CSE,A,7
22BCS070,Student 22BCS070,CSE,A,7
22BCS071,Student 22BCS071,CSE,A,7
22BCS072,Student 22BCS072,CSE,A,7
22BCS073,Student 22BCS073,CSE,A,7
22BCS074,Student 22BCS074,CSE,A,7
22BCS075,Student 22BCS075,CSE,A,7
22BCS076,Student 22BCS076,CSE,A,7
22BCS077,Student 22BCS077,CSE,A,7
22BCS078,Student 22BCS078,CSE,A,7
22BCS079,Student 22BCS079,CSE,A,7
22BCS080,Student 22BCS080,CSE,A,7
22BCS081,Student 22BCS081,CSE,A,7
22BCS082,Student 22BCS082,CSE,A,7
22BCS083,Student 22BCS083,CSE,A,7
22BCS084,Student 22BCS084,CSE,A,7
22BCS085,Student 22BCS085,CSE,A,7
22BCS086,Student 22BCS086,CSE,B,7
22BCS087,Student 22BCS087,CSE,B,7
22BCS088,Student 22BCS088,CSE,B,7
22BCS089,Student 22BCS089,CSE,B,7
22BCS090,Student 22BCS090,CSE,B,7
22BCS091,Student 22BCS091,CSE,B,7
22BCS092,Student 22BCS092,CSE,B,7
22BCS093,Student 22BCS093,CSE,B,7
22BCS094,Student 22BCS094,CSE,B,7
22BCS095,Student 22BCS095,CSE,B,7
22BCS096,Student 22BCS096,CSE,B,7
22BCS097,Student 22BCS097,CSE,B,7
22BCS098,Student 22BCS098,CSE,B,7
22BCS099,Student 22BCS099,CSE,B,7
22BCS100,Student 22BCS100,CSE,B,7
22BCS101,Student 22BCS101,CSE,B,7
22BCS102,Student 22BCS102,CSE,B,7
22BCS103,Student 22BCS103,CSE,B,7
22BCS104,Student 22BCS104,CSE,B,7
22BCS105,Student 22BCS105,CSE,B,7
22BCS106,Student 22BCS106,CSE,B,7
22BCS107,Student 22BCS107,CSE,B,7
22BCS108,Student 22BCS108,CSE,B,7
22BCS109,Student 22BCS109,CSE,B,7
22BCS110,Student 22BCS110,CSE,B,7
22BCS111,Student 22BCS111,CSE,B,7
22BCS112,Student 22BCS112,CSE,B,7
22BCS113,Student 22BCS113,CSE,B,7
22BCS114,Student 22BCS114,CSE,B,7
22BCS115,Student 22BCS115,CSE,B,7
22BCS116,Student 22BCS116,CSE,B,7
22BCS117,Student 22BCS117,CSE,B,7
22BCS118,Student 22BCS118,CSE,B,7
22BCS119,Student 22BCS119,CSE,B,7
22BCS120,Student 22BCS120,CSE,B,7
22BCS121,Student 22BCS121,CSE,B,7
22BCS122,Student 22BCS122,CSE,B,7
22BCS123,Student 22BCS123,CSE,B,7
22BCS124,Student 22BCS124,CSE,B,7
22BCS125,Student 22BCS125,CSE,B,7
22BCS126,Student 22BCS126,CSE,B,7
22BCS127,Student 22BCS127,CSE,B,7
22BCS128,Student 22BCS128,CSE,B,7
22BCS129,Student 22BCS129,CSE,B,7
22BCS130,Student 22BCS130,CSE,B,7
22BCS131,Student 22BCS131,CSE,B,7
22BCS132,Student 22BCS132,CSE,B,7
22BCS133,Student 22BCS133,CSE,B,7
22BCS134,Student 22BCS134,CSE,B,7
22BCS135,Student 22BCS135,CSE,B,7
22BCS136,Student 22BCS136,CSE,B,7
22BCS137,Student 22BCS137,CSE,B,7
22BCS138,Student 22BCS138,CSE,B,7
22BCS139,Student 22BCS139,CSE,B,7
22BCS140,Student 22BCS140,CSE,B,7
22BCS141,Student 22BCS141,CSE,B,7
22BCS142,Student 22BCS142,CSE,B,7
22BCS143,Student 22BCS143,CSE,B,7
22BCS144,Student 22BCS144,CSE,B,7
22BCS145,Student 22BCS145,CSE,B,7
22BCS146,Student 22BCS146,CSE,B,7
22BCS147,Student 22BCS147,CSE,B,7
22BCS148,Student 22BCS148,CSE,B,7
22BCS149,Student 22BCS149,CSE,B,7
22BCS150,Student 22BCS150,CSE,B,7
22BCS151,Student 22BCS151,CSE,B,7
22BCS152,Student 22BCS152,CSE,B,7
22BCS153,Student 22BCS153,CSE,B,7
22BCS154,Student 22BCS154,CSE,B,7
22BCS155,Student 22BCS155,CSE,B,7
22BCS156,Student 22BCS156,CSE,B,7
22BCS157,Student 22BCS157,CSE,B,7
22BCS158,Student 22BCS158,CSE,B,7
22BCS159,Student 22BCS159,CSE,B,7
22BCS160,Student 22BCS160,CSE,B,7
22BCS161,Student 22BCS161,CSE,B,7
22BCS162,Student 22BCS162,CSE,B,7
22BCS163,Student 22BCS163,CSE,B,7
22BCS164,Student 22BCS164,CSE,B,7
22BCS165,Student 22BCS165,CSE,B,7
22BCS166,Student 22BCS166,CSE,B,7
22BCS167,Student 22BCS167,CSE,B,7
22BCS168,Student 22BCS168,CSE,B,7
22BCS169,Student 22BCS169,CSE,B,7
22BCS170,Student 22BCS170,CSE,B,7
22BDS001,Student 22BDS001,DSAI,A,7
22BDS002,Student 22BDS002,DSAI,A,7
22BDS003,Student 22BDS003,DSAI,A,7
22BDS004,Student 22BDS004,DSAI,A,7
22BDS005,Student 22BDS005,DSAI,A,7
22BDS006,Student 22BDS006,DSAI,A,7
22BDS007,Student 22BDS007,DSAI,A,7
22BDS008,Student 22BDS008,DSAI,A,7
22BDS009,Student 22BDS009,DSAI,A,7
22BDS010,Student 22BDS010,DSAI,A,7
22BDS011,Student 22BDS011,DSAI,A,7
22BDS012,Student 22BDS012,DSAI,A,7
22BDS013,Student 22BDS013,DSAI,A,7
22BDS014,Student 22BDS014,DSAI,A,7
22BDS015,Student 22BDS015,DSAI,A,7
22BDS016,Student 22BDS016,DSAI,A,7
22BDS017,Student 22BDS017,DSAI,A,7
22BDS018,Student 22BDS018,DSAI,A,7
22BDS019,Student 22BDS019,DSAI,A,7
22BDS020,Student 22BDS020,DSAI,A,7
22BDS021,Student 22BDS021,DSAI,A,7
22BDS022,Student 22BDS022,DSAI,A,7
22BDS023,Student 22BDS023,DSAI,A,7
22BDS024,Student 22BDS024,DSAI,A,7
22BDS025,Student 22BDS025,DSAI,A,7
22BDS026,Student 22BDS026,DSAI,A,7
22BDS027,Student 22BDS027,DSAI,A,7
22BDS028,Student 22BDS028,DSAI,A,7
22BDS029,Student 22BDS029,DSAI,A,7
22BDS030,Student 22BDS030,DSAI,A,7
22BDS031,Student 22BDS031,DSAI,A,7
22BDS032,Student 22BDS032,DSAI,A,7
22BDS033,Student 22BDS033,DSAI,A,7
22BDS034,Student 22BDS034,DSAI,A,7
22BDS035,Student 22BDS035,DSAI,A,7
22BDS036,Student 22BDS036,DSAI,A,7
22BDS037,Student 22BDS037,DSAI,A,7
22BDS038,Student 22BDS038,DSAI,A,7
22BDS039,Student 22BDS039,DSAI,A,7
22BDS040,Student 22BDS040,DSAI,A,7
22BDS041,Student 22BDS041,DSAI,A,7
22BDS042,Student 22BDS042,DSAI,A,7
22BDS043,Student 22BDS043,DSAI,A,7
22BDS044,Student 22BDS044,DSAI,A,7
22BDS045,Student 22BDS045,DSAI,A,7
22BDS046,Student 22BDS046,DSAI,A,7
22BDS047,Student 22BDS047,DSAI,A,7
22BDS048,Student 22BDS048,DSAI,A,7
22BDS049,Student 22BDS049,DSAI,A,7
22BDS050,Student 22BDS050,DSAI,A,7
22BDS051,Student 22BDS051,DSAI,A,7
22BDS052,Student 22BDS052,DSAI,A,7
22BDS053,Student 22BDS053,DSAI,A,7
22BDS054,Student 22BDS054,DSAI,A,7
22BDS055,Student 22BDS055,DSAI,A,7
22BDS056,Student 22BDS056,DSAI,A,7
22BDS057,Student 22BDS057,DSAI,A,7
22BDS058,Student 22BDS058,DSAI,A,7
22BDS059,Student 22BDS059,DSAI,A,7
22BDS060,Student 22BDS060,DSAI,A,7
22BDS061,Student 22BDS061,DSAI,A,7
22BDS062,Student 22BDS062,DSAI,A,7
22BDS063,Student 22BDS063,DSAI,A,7
22BDS064,Student 22BDS064,DSAI,A,7
22BDS065,Student 22BDS065,DSAI,A,7
22BDS066,Student 22BDS066,DSAI,A,7
22BDS067,Student 22BDS067,DSAI,A,7
22BDS068,Student 22BDS068,DSAI,A,7
22BDS069,Student 22BDS069,DSAI,A,7
22BDS070,Student 22BDS070,DSAI,A,7
22BDS071,Student 22BDS071,DSAI,A,7
22BDS072,Student 22BDS072,DSAI,A,7
22BDS073,Student 22BDS073,DSAI,A,7
22BDS074,Student 22BDS074,DSAI,A,7
22BDS075,Student 22BDS075,DSAI,A,7
22BDS076,Student 22BDS076,DSAI,A,7
22BDS077,Student 22BDS077,DSAI,A,7
22BDS078,Student 22BDS078,DSAI,A,7
22BDS079,Student 22BDS079,DSAI,A,7
22BDS080,Student 22BDS080,DSAI,A,7
22BDS081,Student 22BDS081,DSAI,A,7
22BDS082,Student 22BDS082,DSAI,A,7
22BDS083,Student 22BDS083,DSAI,A,7
22BDS084,Student 22BDS084,DSAI,A,7
22BDS085,Student 22BDS085,DSAI,A,7
22BEC001,Student 22BEC001,ECE,A,7
22BEC002,Student 22BEC002,ECE,A,7
22BEC003,Student 22BEC003,ECE,A,7
22BEC004,Student 22BEC004,ECE,A,7
22BEC005,Student 22BEC005,ECE,A,7
22BEC006,Student 22BEC006,ECE,A,7
22BEC007,Student 22BEC007,ECE,A,7
22BEC008,Student 22BEC008,ECE,A,7
22BEC009,Student 22BEC009,ECE,A,7
22BEC010,Student 22BEC010,ECE,A,7
22BEC011,Student 22BEC011,ECE,A,7
22BEC012,Student 22BEC012,ECE,A,7
22BEC013,Student 22BEC013,ECE,A,7
22BEC014,Student 22BEC014,ECE,A,7
22BEC015,Student 22BEC015,ECE,A,7
22BEC016,Student 22BEC016,ECE,A,7
22BEC017,Student 22BEC017,ECE,A,7
22BEC018,Student 22BEC018,ECE,A,7
22BEC019,Student 22BEC019,ECE,A,7
22BEC020,Student 22BEC020,ECE,A,7
22BEC021,Student 22BEC021,ECE,A,7
22BEC022,Student 22BEC022,ECE,A,7
22BEC023,Student 22BEC023,ECE,A,7
22BEC024,Student 22BEC024,ECE,A,7
22BEC025,Student 22BEC025,ECE,A,7
22BEC026,Student 22BEC026,ECE,A,7
22BEC027,Student 22BEC027,ECE,A,7
22BEC028,Student 22BEC028,ECE,A,7
22BEC029,Student 22BEC029,ECE,A,7
22BEC030,Student 22BEC030,ECE,A,7
22BEC031,Student 22BEC031,ECE,A,7
22BEC032,Student 22BEC032,ECE,A,7
22BEC033,Student 22BEC033,ECE,A,7
22BEC034,Student 22BEC034,ECE,A,7
22BEC035,Student 22BEC035,ECE,A,7
22BEC036,Student 22BEC036,ECE,A,7
22BEC037,Student 22BEC037,ECE,A,7
22BEC038,Student 22BEC038,ECE,A,7
22BEC039,Student 22BEC039,ECE,A,7
22BEC040,Student 22BEC040,ECE,A,7
22BEC041,Student 22BEC041,ECE,A,7
22BEC042,Student 22BEC042,ECE,A,7
22BEC043,Student 22BEC043,ECE,A,7
22BEC044,Student 22BEC044,ECE,A,7
22BEC045,Student 22BEC045,ECE,A,7
22BEC046,Student 22BEC046,ECE,A,7
22BEC047,Student 22BEC047,ECE,A,7
22BEC048,Student 22BEC048,ECE,A,7
22BEC049,Student 22BEC049,ECE,A,7
22BEC050,Student 22BEC050,ECE,A,7
22BEC051,Student 22BEC051,ECE,A,7
22BEC052,Student 22BEC052,ECE,A,7
22BEC053,Student 22BEC053,ECE,A,7
22BEC054,Student 22BEC054,ECE,A,7
22BEC055,Student 22BEC055,ECE,A,7
22BEC056,Student 22BEC056,ECE,A,7
22BEC057,Student 22BEC057,ECE,A,7
22BEC058,Student 22BEC058,ECE,A,7
22BEC059,Student 22BEC059,ECE,A,7
22BEC060,Student 22BEC060,ECE,A,7
22BEC061,Student 22BEC061,ECE,A,7
22BEC062,Student 22BEC062,ECE,A,7
22BEC063,Student 22BEC063,ECE,A,7
22BEC064,Student 22BEC064,ECE,A,7
22BEC065,Student 22BEC065,ECE,A,7
22BEC066,Student 22BEC066,ECE,A,7
22BEC067,Student 22BEC067,ECE,A,7
22BEC068,Student 22BEC068,ECE,A,7
22BEC069,Student 22BEC069,ECE,A,7
22BEC070,Student 22BEC070,ECE,A,7
22BEC071,Student 22BEC071,ECE,A,7
22BEC072,Student 22BEC072,ECE,A,7
22BEC073,Student 22BEC073,ECE,A,7
22BEC074,Student 22BEC074,ECE,A,7
22BEC075,Student 22BEC075,ECE,A,7
22BEC076,Student 22BEC076,ECE,A,7
22BEC077,Student 22BEC077,ECE,A,7
22BEC078,Student 22BEC078,ECE,A,7
22BEC079,Student 22BEC079,ECE,A,7
22BEC080,Student 22BEC080,ECE,A,7
22BEC081,Student 22BEC081,ECE,A,7
22BEC082,Student 22BEC082,ECE,A,7
22BEC083,Student 22BEC083,ECE,A,7
22BEC084,Student 22BEC084,ECE,A,7
22BEC085,Student 22BEC085,ECE,A,7
23BCS001,Student 23BCS001,CSE,A,5
23BCS002,Student 23BCS002,CSE,A,5
23BCS003,Student 23BCS003,CSE,A,5
23BCS004,Student 23BCS004,CSE,A,5
23BCS005,Student 23BCS005,CSE,A,5
23BCS006,Student 23BCS006,CSE,A,5
23BCS007,Student 23BCS007,CSE,A,5
23BCS008,Student 23BCS008,CSE,A,5
23BCS009,Student 23BCS009,CSE,A,5
23BCS010,Student 23BCS010,CSE,A,5
23BCS011,Student 23BCS011,CSE,A,5
23BCS012,Student 23BCS012,CSE,A,5
23BCS013,Student 23BCS013,CSE,A,5
23BCS014,Student 23BCS014,CSE,A,5
23BCS015,Student 23BCS015,CSE,A,5
23BCS016,Student 23BCS016,CSE,A,5
23BCS017,Student 23BCS017,CSE,A,5
23BCS018,Student 23BCS018,CSE,A,5
23BCS019,Student 23BCS019,CSE,A,5
23BCS020,Student 23BCS020,CSE,A,5
23BCS021,Student 23BCS021,CSE,A,5
23BCS022,Student 23BCS022,CSE,A,5
23BCS023,Student 23BCS023,CSE,A,5
23BCS024,Student 23BCS024,CSE,A,5
23BCS025,Student 23BCS025,CSE,A,5
23BCS026,Student 23BCS026,CSE,A,5
23BCS027,Student 23BCS027,CSE,A,5
23BCS028,Student 23BCS028,CSE,A,5
23BCS029,Student 23BCS029,CSE,A,5
23BCS030,Student 23BCS030,CSE,A,5
23BCS031,Student 23BCS031,CSE,A,5
23BCS032,Student 23BCS032,CSE,A,5
23BCS033,Student 23BCS033,CSE,A,5
23BCS034,Student 23BCS034,CSE,A,5
23BCS035,Student 23BCS035,CSE,A,5
23BCS036,Student 23BCS036,CSE,A,5
23BCS037,Student 23BCS037,CSE,A,5
23BCS038,Student 23BCS038,CSE,A,5
23BCS039,Student 23BCS039,CSE,A,5
23BCS040,Student 23BCS040,CSE,A,5
23BCS041,Student 23BCS041,CSE,A,5
23BCS042,Student 23BCS042,CSE,A,5
23BCS043,Student 23BCS043,CSE,A,5
23BCS044,Student 23BCS044,CSE,A,5
23BCS045,Student 23BCS045,CSE,A,5
23BCS046,Student 23BCS046,CSE,A,5
23BCS047,Student 23BCS047,CSE,A,5
23BCS048,Student 23BCS048,CSE,A,5
23BCS049,Student 23BCS049,CSE,A,5
23BCS050,Student 23BCS050,CSE,A,5
23BCS051,Student 23BCS051,CSE,A,5
23BCS052,Student 23BCS052,CSE,A,5
23BCS053,Student 23BCS053,CSE,A,5
23BCS054,Student 23BCS054,CSE,A,5
23BCS055,Student 23BCS055,CSE,A,5
23BCS056,Student 23BCS056,CSE,A,5
23BCS057,Student 23BCS057,CSE,A,5
23BCS058,Student 23BCS058,CSE,A,5
23BCS059,Student 23BCS059,CSE,A,5
23BCS060,Student 23BCS060,CSE,A,5
23BCS061,Student 23BCS061,CSE,A,5
23BCS062,Student 23BCS062,CSE,A,5
23BCS063,Student 23BCS063,CSE,A,5
23BCS064,Student 23BCS064,CSE,A,5
23BCS065,Student 23BCS065,CSE,A,5
23BCS066,Student 23BCS066,CSE,A,5
23BCS067,Student 23BCS067,CSE,A,5
23BCS068,Student 23BCS068,CSE,A,5
23BCS069,Student 23BCS069,CSE,A,5
23BCS070,Student 23BCS070,CSE,A,5
23BCS071,Student 23BCS071,CSE,A,5
23BCS072,Student 23BCS072,CSE,A,5
23BCS073,Student 23BCS073,CSE,A,5
23BCS074,Student 23BCS074,CSE,A,5
23BCS075,Student 23BCS075,CSE,A,5
23BCS076,Student 23BCS076,CSE,A,5
23BCS077,Student 23BCS077,CSE,A,5
23BCS078,Student 23BCS078,CSE,A,5
23BCS079,Student 23BCS079,CSE,A,5
23BCS080,Student 23BCS080,CSE,A,5
23BCS081,Student 23BCS081,CSE,A,5
23BCS082,Student 23BCS082,CSE,A,5
23BCS083,Student 23BCS083,CSE,A,5
23BCS084,Student 23BCS084,CSE,A,5
23BCS085,Student 23BCS085,CSE,A,5
23BCS086,Student 23BCS086,CSE,B,5
23BCS087,Student 23BCS087,CSE,B,5
23BCS088,Student 23BCS088,CSE,B,5
23BCS089,Student 23BCS089,CSE,B,5
23BCS090,Student 23BCS090,CSE,B,5
23BCS091,Student 23BCS091,CSE,B,5
23BCS092,Student 23BCS092,CSE,B,5
23BCS093,Student 23BCS093,CSE,B,5
23BCS094,Student 23BCS094,CSE,B,5
23BCS095,Student 23BCS095,CSE,B,5
23BCS096,Student 23BCS096,CSE,B,5
23BCS097,Student 23BCS097,CSE,B,5
23BCS098,Student 23BCS098,CSE,B,5
23BCS099,Student 23BCS099,CSE,B,5
23BCS100,Student 23BCS100,CSE,B,5
23BCS101,Student 23BCS101,CSE,B,5
23BCS102,Student 23BCS102,CSE,B,5
23BCS103,Student 23BCS103,CSE,B,5
23BCS104,Student 23BCS104,CSE,B,5
23BCS105,Student 23BCS105,CSE,B,5
23BCS106,Student 23BCS106,CSE,B,5
23BCS107,Student 23BCS107,CSE,B,5
23BCS108,Student 23BCS108,CSE,B,5
23BCS109,Student 23BCS109,CSE,B,5
23BCS110,Student 23BCS110,CSE,B,5
23BCS111,Student 23BCS111,CSE,B,5
23BCS112,Student 23BCS112,CSE,B,5
23BCS113,Student 23BCS113,CSE,B,5
23BCS114,Student 23BCS114,CSE,B,5
23BCS115,Student 23BCS115,CSE,B,5
23BCS116,Student 23BCS116,CSE,B,5
23BCS117,Student 23BCS117,CSE,B,5
23BCS118,Student 23BCS118,CSE,B,5
23BCS119,Student 23BCS119,CSE,B,5
23BCS120,Student 23BCS120,CSE,B,5
23BCS121,Student 23BCS121,CSE,B,5
23BCS122,Student 23BCS122,CSE,B,5
23BCS123,Student 23BCS123,CSE,B,5
23BCS124,Student 23BCS124,CSE,B,5
23BCS125,Student 23BCS125,CSE,B,5
23BCS126,Student 23BCS126,CSE,B,5
23BCS127,Student 23BCS127,CSE,B,5
23BCS128,Student 23BCS128,CSE,B,5
23BCS129,Student 23BCS129,CSE,B,5
23BCS130,Student 23BCS130,CSE,B,5
23BCS131,Student 23BCS131,CSE,B,5
23BCS132,Student 23BCS132,CSE,B,5
23BCS133,Student 23BCS133,CSE,B,5
23BCS134,Student 23BCS134,CSE,B,5
23BCS135,Student 23BCS135,CSE,B,5
23BCS136,Student 23BCS136,CSE,B,5
23BCS137,Student 23BCS137,CSE,B,5
23BCS138,Student 23BCS138,CSE,B,5
23BCS139,Student 23BCS139,CSE,B,5
23BCS140,Student 23BCS140,CSE,B,5
23BCS141,Student 23BCS141,CSE,B,5
23BCS142,Student 23BCS142,CSE,B,5
23BCS143,Student 23BCS143,CSE,B,5
23BCS144,Student 23BCS144,CSE,B,5
23BCS145,Student 23BCS145,CSE,B,5
23BCS146,Student 23BCS146,CSE,B,5
23BCS147,Student 23BCS147,CSE,B,5
23BCS148,Student 23BCS148,CSE,B,5
23BCS149,Student 23BCS149,CSE,B,5
23BCS150,Student 23BCS150,CSE,B,5
23BCS151,Student 23BCS151,CSE,B,5
23BCS152,Student 23BCS152,CSE,B,5
23BCS153,Student 23BCS153,CSE,B,5
23BCS154,Student 23BCS154,CSE,B,5
23BCS155,Student 23BCS155,CSE,B,5
23BCS156,Student 23BCS156,CSE,B,5
23BCS157,Student 23BCS157,CSE,B,5
23BCS158,Student 23BCS158,CSE,B,5
23BCS159,Student 23BCS159,CSE,B,5
23BCS160,Student 23BCS160,CSE,B,5
23BCS161,Student 23BCS161,CSE,B,5
23BCS162,Student 23BCS162,CSE,B,5
23BCS163,Student 23BCS163,CSE,B,5
23BCS164,Student 23BCS164,CSE,B,5
23BCS165,Student 23BCS165,CSE,B,5
23BCS166,Student 23BCS166,CSE,B,5
23BCS167,Student 23BCS167,CSE,B,5
23BCS168,Student 23BCS168,CSE,B,5
23BCS169,Student 23BCS169,CSE,B,5
23BCS170,Student 23BCS170,CSE,B,5
23BDS001,Student 23BDS001,DSAI,A,5
23BDS002,Student 23BDS002,DSAI,A,5
23BDS003,Student 23BDS003,DSAI,A,5
23BDS004,Student 23BDS004,DSAI,A,5
23BDS005,Student 23BDS005,DSAI,A,5
23BDS006,Student 23BDS006,DSAI,A,5
23BDS007,Student 23BDS007,DSAI,A,5
23BDS008,Student 23BDS008,DSAI,A,5
23BDS009,Student 23BDS009,DSAI,A,5
23BDS010,Student 23BDS010,DSAI,A,5
23BDS011,Student 23BDS011,DSAI,A,5
23BDS012,Student 23BDS012,DSAI,A,5
23BDS013,Student 23BDS013,DSAI,A,5
23BDS014,Student 23BDS014,DSAI,A,5
23BDS015,Student 23BDS015,DSAI,A,5
23BDS016,Student 23BDS016,DSAI,A,5
23BDS017,Student 23BDS017,DSAI,A,5
23BDS018,Student 23BDS018,DSAI,A,5
23BDS019,Student 23BDS019,DSAI,A,5
23BDS020,Student 23BDS020,DSAI,A,5
23BDS021,Student 23BDS021,DSAI,A,5
23BDS022,Student 23BDS022,DSAI,A,5
23BDS023,Student 23BDS023,DSAI,A,5
23BDS024,Student 23BDS024,DSAI,A,5
23BDS025,Student 23BDS025,DSAI,A,5
23BDS026,Student 23BDS026,DSAI,A,5
23BDS027,Student 23BDS027,DSAI,A,5
23BDS028,Student 23BDS028,DSAI,A,5
23BDS029,Student 23BDS029,DSAI,A,5
23BDS030,Student 23BDS030,DSAI,A,5
23BDS031,Student 23BDS031,DSAI,A,5
23BDS032,Student 23BDS032,DSAI,A,5
23BDS033,Student 23BDS033,DSAI,A,5
23BDS034,Student 23BDS034,DSAI,A,5
23BDS035,Student 23BDS035,DSAI,A,5
23BDS036,Student 23BDS036,DSAI,A,5
23BDS037,Student 23BDS037,DSAI,A,5
23BDS038,Student 23BDS038,DSAI,A,5
23BDS039,Student 23BDS039,DSAI,A,5
23BDS040,Student 23BDS040,DSAI,A,5
23BDS041,Student 23BDS041,DSAI,A,5
23BDS042,Student 23BDS042,DSAI,A,5
23BDS043,Student 23BDS043,DSAI,A,5
23BDS044,Student 23BDS044,DSAI,A,5
23BDS045,Student 23BDS045,DSAI,A,5
23BDS046,Student 23BDS046,DSAI,A,5
23BDS047,Student 23BDS047,DSAI,A,5
23BDS048,Student 23BDS048,DSAI,A,5
23BDS049,Student 23BDS049,DSAI,A,5
23BDS050,Student 23BDS050,DSAI,A,5
23BDS051,Student 23BDS051,DSAI,A,5
23BDS052,Student 23BDS052,DSAI,A,5
23BDS053,Student 23BDS053,DSAI,A,5
23BDS054,Student 23BDS054,DSAI,A,5
23BDS055,Student 23BDS055,DSAI,A,5
23BDS056,Student 23BDS056,DSAI,A,5
23BDS057,Student 23BDS057,DSAI,A,5
23BDS058,Student 23BDS058,DSAI,A,5
23BDS059,Student 23BDS059,DSAI,A,5
23BDS060,Student 23BDS060,DSAI,A,5
23BDS061,Student 23BDS061,DSAI,A,5
23BDS062,Student 23BDS062,DSAI,A,5
23BDS063,Student 23BDS063,DSAI,A,5
23BDS064,Student 23BDS064,DSAI,A,5
23BDS065,Student 23BDS065,DSAI,A,5
23BDS066,Student 23BDS066,DSAI,A,5
23BDS067,Student 23BDS067,DSAI,A,5
23BDS068,Student 23BDS068,DSAI,A,5
23BDS069,Student 23BDS069,DSAI,A,5
23BDS070,Student 23BDS070,DSAI,A,5
23BDS071,Student 23BDS071,DSAI,A,5
23BDS072,Student 23BDS072,DSAI,A,5
23BDS073,Student 23BDS073,DSAI,A,5
23BDS074,Student 23BDS074,DSAI,A,5
23BDS075,Student 23BDS075,DSAI,A,5
23BDS076,Student 23BDS076,DSAI,A,5
23BDS077,Student 23BDS077,DSAI,A,5
23BDS078,Student 23BDS078,DSAI,A,5
23BDS079,Student 23BDS079,DSAI,A,5
23BDS080,Student 23BDS080,DSAI,A,5
23BDS081,Student 23BDS081,DSAI,A,5
23BDS082,Student 23BDS082,DSAI,A,5
23BDS083,Student 23BDS083,DSAI,A,5
23BDS084,Student 23BDS084,DSAI,A,5
23BDS085,Student 23BDS085,DSAI,A,5
23BEC001,Student 23BEC001,ECE,A,5
23BEC002,Student 23BEC002,ECE,A,5
23BEC003,Student 23BEC003,ECE,A,5
23BEC004,Student 23BEC004,ECE,A,5
23BEC005,Student 23BEC005,ECE,A,5
